,DÃ¡tum,Elhunytak,cum_sum
0,2020-03-04,0.0,0.0
1,2020-03-05,0.0,0.0
2,2020-03-06,0.0,0.0
3,2020-03-07,0.0,0.0
4,2020-03-08,0.0,0.0
5,2020-03-09,0.0,0.0
6,2020-03-10,0.0,0.0
7,2020-03-11,0.0,0.0
8,2020-03-12,0.0,0.0
9,2020-03-13,0.0,0.0
10,2020-03-14,0.0,0.0
11,2020-03-15,0.0,0.0
12,2020-03-16,1.0,1.0
13,2020-03-17,1.0,2.0
14,2020-03-18,1.0,3.0
15,2020-03-19,1.0,4.0
16,2020-03-20,4.0,8.0
17,2020-03-21,4.0,12.0
18,2020-03-22,6.0,18.0
19,2020-03-23,8.0,26.0
20,2020-03-24,9.0,35.0
21,2020-03-25,10.0,45.0
22,2020-03-26,10.0,55.0
23,2020-03-27,10.0,65.0
24,2020-03-28,11.0,76.0
25,2020-03-29,13.0,89.0
26,2020-03-30,15.0,104.0
27,2020-03-31,16.0,120.0
28,2020-04-01,20.0,140.0
29,2020-04-02,21.0,161.0
30,2020-04-03,26.0,187.0
31,2020-04-04,32.0,219.0
32,2020-04-05,34.0,253.0
33,2020-04-06,38.0,291.0
34,2020-04-07,47.0,338.0
35,2020-04-08,58.0,396.0
36,2020-04-09,66.0,462.0
37,2020-04-10,77.0,539.0
38,2020-04-11,85.0,624.0
39,2020-04-12,99.0,723.0
40,2020-04-13,109.0,832.0
41,2020-04-14,122.0,954.0
42,2020-04-15,134.0,1088.0
43,2020-04-16,142.0,1230.0
44,2020-04-17,156.0,1386.0
45,2020-04-18,172.0,1558.0
46,2020-04-19,189.0,1747.0
47,2020-04-20,199.0,1946.0
48,2020-04-21,213.0,2159.0
49,2020-04-22,225.0,2384.0
50,2020-04-23,239.0,2623.0
51,2020-04-24,250.0,2873.0
52,2020-04-25,262.0,3135.0
53,2020-04-26,272.0,3407.0
54,2020-04-27,280.0,3687.0
55,2020-04-28,291.0,3978.0
56,2020-04-29,300.0,4278.0
57,2020-04-30,312.0,4590.0
58,2020-05-01,323.0,4913.0
59,2020-05-02,335.0,5248.0
60,2020-05-03,340.0,5588.0
61,2020-05-04,351.0,5939.0
62,2020-05-05,363.0,6302.0
63,2020-05-06,373.0,6675.0
64,2020-05-07,383.0,7058.0
65,2020-05-08,392.0,7450.0
66,2020-05-09,405.0,7855.0
67,2020-05-10,413.0,8268.0
68,2020-05-11,421.0,8689.0
69,2020-05-12,425.0,9114.0
70,2020-05-13,430.0,9544.0
71,2020-05-14,436.0,9980.0
72,2020-05-15,442.0,10422.0
73,2020-05-16,448.0,10870.0
74,2020-05-17,451.0,11321.0
75,2020-05-18,462.0,11783.0
76,2020-05-19,467.0,12250.0
77,2020-05-20,470.0,12720.0
78,2020-05-21,473.0,13193.0
79,2020-05-22,476.0,13669.0
80,2020-05-23,482.0,14151.0
81,2020-05-24,486.0,14637.0
82,2020-05-25,491.0,15128.0
83,2020-05-26,499.0,15627.0
84,2020-05-27,505.0,16132.0
85,2020-05-28,509.0,16641.0
86,2020-05-29,517.0,17158.0
87,2020-05-30,524.0,17682.0
88,2020-05-31,526.0,18208.0
89,2020-06-01,527.0,18735.0
90,2020-06-02,532.0,19267.0
91,2020-06-03,534.0,19801.0
92,2020-06-04,539.0,20340.0
93,2020-06-05,542.0,20882.0
94,2020-06-06,545.0,21427.0
95,2020-06-07,546.0,21973.0
96,2020-06-08,548.0,22521.0
97,2020-06-09,550.0,23071.0
98,2020-06-10,551.0,23622.0
99,2020-06-11,553.0,24175.0
100,2020-06-12,555.0,24730.0
101,2020-06-13,559.0,25289.0
102,2020-06-14,562.0,25851.0
103,2020-06-15,563.0,26414.0
104,2020-06-16,565.0,26979.0
105,2020-06-17,567.0,27546.0
106,2020-06-18,568.0,28114.0
107,2020-06-19,568.0,28682.0
108,2020-06-20,570.0,29252.0
109,2020-06-21,570.0,29822.0
110,2020-06-22,572.0,30394.0
111,2020-06-23,573.0,30967.0
112,2020-06-24,576.0,31543.0
113,2020-06-25,577.0,32120.0
114,2020-06-26,578.0,32698.0
115,2020-06-27,578.0,33276.0
116,2020-06-28,581.0,33857.0
117,2020-06-29,585.0,34442.0
118,2020-06-30,585.0,35027.0
119,2020-07-01,586.0,35613.0
120,2020-07-02,587.0,36200.0
121,2020-07-03,588.0,36788.0
122,2020-07-04,589.0,37377.0
123,2020-07-05,589.0,37966.0
124,2020-07-06,589.0,38555.0
125,2020-07-07,589.0,39144.0
126,2020-07-08,589.0,39733.0
127,2020-07-09,591.0,40324.0
128,2020-07-10,593.0,40917.0
129,2020-07-11,595.0,41512.0
130,2020-07-12,595.0,42107.0
131,2020-07-13,595.0,42702.0
132,2020-07-14,595.0,43297.0
133,2020-07-15,595.0,43892.0
134,2020-07-16,595.0,44487.0
135,2020-07-17,595.0,45082.0
136,2020-07-18,596.0,45678.0
137,2020-07-19,596.0,46274.0
138,2020-07-20,596.0,46870.0
139,2020-07-21,596.0,47466.0
140,2020-07-22,596.0,48062.0
141,2020-07-23,596.0,48658.0
142,2020-07-24,596.0,49254.0
143,2020-07-25,596.0,49850.0
144,2020-07-26,596.0,50446.0
145,2020-07-27,596.0,51042.0
146,2020-07-28,596.0,51638.0
147,2020-07-29,596.0,52234.0
148,2020-07-30,596.0,52830.0
149,2020-07-31,596.0,53426.0
150,2020-08-01,597.0,54023.0
151,2020-08-02,597.0,54620.0
152,2020-08-03,597.0,55217.0
153,2020-08-04,598.0,55815.0
154,2020-08-05,599.0,56414.0
155,2020-08-06,600.0,57014.0
156,2020-08-07,602.0,57616.0
157,2020-08-08,602.0,58218.0
158,2020-08-09,602.0,58820.0
159,2020-08-10,605.0,59425.0
160,2020-08-11,605.0,60030.0
161,2020-08-12,605.0,60635.0
162,2020-08-13,607.0,61242.0
163,2020-08-14,607.0,61849.0
164,2020-08-15,607.0,62456.0
165,2020-08-16,608.0,63064.0
166,2020-08-17,608.0,63672.0
167,2020-08-18,609.0,64281.0
168,2020-08-19,609.0,64890.0
169,2020-08-20,609.0,65499.0
170,2020-08-21,611.0,66110.0
171,2020-08-22,611.0,66721.0
172,2020-08-23,613.0,67334.0
173,2020-08-24,613.0,67947.0
174,2020-08-25,614.0,68561.0
175,2020-08-26,614.0,69175.0
176,2020-08-27,614.0,69789.0
177,2020-08-28,614.0,70403.0
178,2020-08-29,614.0,71017.0
179,2020-08-30,614.0,71631.0
180,2020-08-31,615.0,72246.0
181,2020-09-01,616.0,72862.0
182,2020-09-02,619.0,73481.0
183,2020-09-03,620.0,74101.0
184,2020-09-04,621.0,74722.0
185,2020-09-05,624.0,75346.0
186,2020-09-06,624.0,75970.0
187,2020-09-07,625.0,76595.0
188,2020-09-08,626.0,77221.0
189,2020-09-09,628.0,77849.0
190,2020-09-10,630.0,78479.0
191,2020-09-11,631.0,79110.0
192,2020-09-12,633.0,79743.0
193,2020-09-13,637.0,80380.0
194,2020-09-14,642.0,81022.0
195,2020-09-15,646.0,81668.0
196,2020-09-16,654.0,82322.0
197,2020-09-17,663.0,82985.0
198,2020-09-18,669.0,83654.0
199,2020-09-19,675.0,84329.0
200,2020-09-20,683.0,85012.0
201,2020-09-21,686.0,85698.0
202,2020-09-22,694.0,86392.0
203,2020-09-23,702.0,87094.0
204,2020-09-24,709.0,87803.0
205,2020-09-25,718.0,88521.0
206,2020-09-26,730.0,89251.0
207,2020-09-27,736.0,89987.0
208,2020-09-28,749.0,90736.0
209,2020-09-29,757.0,91493.0
210,2020-09-30,765.0,92258.0
211,2020-10-01,781.0,93039.0
212,2020-10-02,798.0,93837.0
213,2020-10-03,812.0,94649.0
214,2020-10-04,822.0,95471.0
215,2020-10-05,833.0,96304.0
216,2020-10-06,853.0,97157.0
217,2020-10-07,877.0,98034.0
218,2020-10-08,898.0,98932.0
219,2020-10-09,913.0,99845.0
220,2020-10-10,933.0,100778.0
221,2020-10-11,954.0,101732.0
222,2020-10-12,968.0,102700.0
223,2020-10-13,996.0,103696.0
224,2020-10-14,1023.0,104719.0
225,2020-10-15,1052.0,105771.0
226,2020-10-16,1085.0,106856.0
227,2020-10-17,1109.0,107965.0
228,2020-10-18,1142.0,109107.0
229,2020-10-19,1173.0,110280.0
230,2020-10-20,1211.0,111491.0
231,2020-10-21,1259.0,112750.0
232,2020-10-22,1305.0,114055.0
233,2020-10-23,1352.0,115407.0
234,2020-10-24,1390.0,116797.0
235,2020-10-25,1425.0,118222.0
236,2020-10-26,1472.0,119694.0
237,2020-10-27,1535.0,121229.0
238,2020-10-28,1578.0,122807.0
239,2020-10-29,1634.0,124441.0
240,2020-10-30,1699.0,126140.0
241,2020-10-31,1750.0,127890.0
242,2020-11-01,1819.0,129709.0
243,2020-11-02,1889.0,131598.0
244,2020-11-03,1973.0,133571.0
245,2020-11-04,2063.0,135634.0
246,2020-11-05,2147.0,137781.0
247,2020-11-06,2250.0,140031.0
248,2020-11-07,2357.0,142388.0
249,2020-11-08,2438.0,144826.0
250,2020-11-09,2493.0,147319.0
251,2020-11-10,2596.0,149915.0
252,2020-11-11,2697.0,152612.0
253,2020-11-12,2784.0,155396.0
254,2020-11-13,2883.0,158279.0
255,2020-11-14,2990.0,161269.0
256,2020-11-15,3097.0,164366.0
257,2020-11-16,3190.0,167556.0
258,2020-11-17,3281.0,170837.0
259,2020-11-18,3380.0,174217.0
260,2020-11-19,3472.0,177689.0
261,2020-11-20,3568.0,181257.0
262,2020-11-21,3689.0,184946.0
263,2020-11-22,3800.0,188746.0
264,2020-11-23,3891.0,192637.0
265,2020-11-24,4008.0,196645.0
266,2020-11-25,4114.0,200759.0
267,2020-11-26,4229.0,204988.0
268,2020-11-27,4364.0,209352.0
269,2020-11-28,4516.0,213868.0
270,2020-11-29,4672.0,218540.0
271,2020-11-30,4823.0,223363.0
272,2020-12-01,4977.0,228340.0
273,2020-12-02,5142.0,233482.0
274,2020-12-03,5324.0,238806.0
275,2020-12-04,5513.0,244319.0
276,2020-12-05,5706.0,250025.0
277,2020-12-06,5868.0,255893.0
278,2020-12-07,5984.0,261877.0
279,2020-12-08,6120.0,267997.0
280,2020-12-09,6280.0,274277.0
281,2020-12-10,6451.0,280728.0
282,2020-12-11,6622.0,287350.0
283,2020-12-12,6784.0,294134.0
284,2020-12-13,6965.0,301099.0
285,2020-12-14,7130.0,308229.0
286,2020-12-15,7237.0,315466.0
287,2020-12-16,7381.0,322847.0
288,2020-12-17,7538.0,330385.0
289,2020-12-18,7725.0,338110.0
290,2020-12-19,7914.0,346024.0
291,2020-12-20,8099.0,354123.0
292,2020-12-21,8282.0,362405.0
293,2020-12-22,8462.0,370867.0
294,2020-12-23,8616.0,379483.0
295,2020-12-24,8729.0,388212.0
296,2020-12-25,8833.0,397045.0
297,2020-12-26,8951.0,405996.0
298,2020-12-27,9047.0,415043.0
299,2020-12-28,9161.0,424204.0
300,2020-12-29,9292.0,433496.0
301,2020-12-30,9429.0,442925.0
302,2020-12-31,9537.0,452462.0
303,2021-01-01,9667.0,462129.0
304,2021-01-02,9781.0,471910.0
305,2021-01-03,9884.0,481794.0
306,2021-01-04,9977.0,491771.0
307,2021-01-05,10080.0,501851.0
308,2021-01-06,10198.0,512049.0
309,2021-01-07,10325.0,522374.0
310,2021-01-08,10440.0,532814.0
311,2021-01-09,10554.0,543368.0
312,2021-01-10,10648.0,554016.0
313,2021-01-11,10725.0,564741.0
314,2021-01-12,10853.0,575594.0
315,2021-01-13,10948.0,586542.0
316,2021-01-14,11066.0,597608.0
317,2021-01-15,11177.0,608785.0
318,2021-01-16,11264.0,620049.0
319,2021-01-17,11341.0,631390.0
320,2021-01-18,11409.0,642799.0
321,2021-01-19,11520.0,654319.0
322,2021-01-20,11615.0,665934.0
323,2021-01-21,11713.0,677647.0
324,2021-01-22,11811.0,689458.0
325,2021-01-23,11904.0,701362.0
326,2021-01-24,11968.0,713330.0
327,2021-01-25,12024.0,725354.0
328,2021-01-26,12113.0,737467.0
329,2021-01-27,12198.0,749665.0
330,2021-01-28,12291.0,761956.0
331,2021-01-29,12374.0,774330.0
332,2021-01-30,12463.0,786793.0
333,2021-01-31,12524.0,799317.0
334,2021-02-01,12578.0,811895.0
335,2021-02-02,12656.0,824551.0
336,2021-02-03,12739.0,837290.0
337,2021-02-04,12832.0,850122.0
338,2021-02-05,12930.0,863052.0
339,2021-02-06,13026.0,876078.0
340,2021-02-07,13090.0,889168.0
341,2021-02-08,13155.0,902323.0
342,2021-02-09,13249.0,915572.0
343,2021-02-10,13347.0,928919.0
344,2021-02-11,13444.0,942363.0
345,2021-02-12,13543.0,955906.0
346,2021-02-13,13636.0,969542.0
347,2021-02-14,13706.0,983248.0
348,2021-02-15,13752.0,997000.0
349,2021-02-16,13837.0,1010837.0
350,2021-02-17,13931.0,1024768.0
351,2021-02-18,14035.0,1038803.0
352,2021-02-19,14145.0,1052948.0
353,2021-02-20,14252.0,1067200.0
354,2021-02-21,14299.0,1081499.0
355,2021-02-22,14347.0,1095846.0
356,2021-02-23,14450.0,1110296.0
357,2021-02-24,14552.0,1124848.0
358,2021-02-25,14672.0,1139520.0
359,2021-02-26,14795.0,1154315.0
360,2021-02-27,14902.0,1169217.0
361,2021-02-28,14974.0,1184191.0
362,2021-03-01,15058.0,1199249.0
363,2021-03-02,15188.0,1214437.0
364,2021-03-03,15324.0,1229761.0
365,2021-03-04,15476.0,1245237.0
366,2021-03-05,15619.0,1260856.0
367,2021-03-06,15765.0,1276621.0
368,2021-03-07,15873.0,1292494.0
369,2021-03-08,15988.0,1308482.0
370,2021-03-09,16146.0,1324628.0
371,2021-03-10,16325.0,1340953.0
372,2021-03-11,16497.0,1357450.0
373,2021-03-12,16627.0,1374077.0
374,2021-03-13,16790.0,1390867.0
375,2021-03-14,16952.0,1407819.0
376,2021-03-15,17083.0,1424902.0
377,2021-03-16,17226.0,1442128.0
378,2021-03-17,17421.0,1459549.0
379,2021-03-18,17628.0,1477177.0
380,2021-03-19,17841.0,1495018.0
381,2021-03-20,18068.0,1513086.0
382,2021-03-21,18262.0,1531348.0
383,2021-03-22,18451.0,1549799.0
384,2021-03-23,18703.0,1568502.0
385,2021-03-24,18952.0,1587454.0
386,2021-03-25,19224.0,1606678.0
387,2021-03-26,19499.0,1626177.0
388,2021-03-27,19752.0,1645929.0
389,2021-03-28,19972.0,1665901.0
390,2021-03-29,20161.0,1686062.0
391,2021-03-30,20435.0,1706497.0
392,2021-03-31,20737.0,1727234.0
393,2021-04-01,20995.0,1748229.0
394,2021-04-02,21262.0,1769491.0
395,2021-04-03,21504.0,1790995.0
396,2021-04-04,21715.0,1812710.0
397,2021-04-05,21928.0,1834638.0
398,2021-04-06,22098.0,1856736.0
399,2021-04-07,22409.0,1879145.0
400,2021-04-08,22681.0,1901826.0
401,2021-04-09,22966.0,1924792.0
402,2021-04-10,23211.0,1948003.0
403,2021-04-11,23417.0,1971420.0
404,2021-04-12,23708.0,1995128.0
405,2021-04-13,23980.0,2019108.0
406,2021-04-14,24265.0,2043373.0
407,2021-04-15,24521.0,2067894.0
408,2021-04-16,24762.0,2092656.0
409,2021-04-17,24979.0,2117635.0
410,2021-04-18,25184.0,2142819.0
411,2021-04-19,25381.0,2168200.0
412,2021-04-20,25580.0,2193780.0
413,2021-04-21,25787.0,2219567.0
414,2021-04-22,26001.0,2245568.0
415,2021-04-23,26208.0,2271776.0
416,2021-04-24,26420.0,2298196.0
417,2021-04-25,26625.0,2324821.0
418,2021-04-26,26801.0,2351622.0
419,2021-04-27,26984.0,2378606.0
420,2021-04-28,27172.0,2405778.0
421,2021-04-29,27358.0,2433136.0
422,2021-04-30,27540.0,2460676.0
423,2021-05-01,27701.0,2488377.0
424,2021-05-02,27802.0,2516179.0
425,2021-05-03,27908.0,2544087.0
426,2021-05-04,28045.0,2572132.0
427,2021-05-05,28173.0,2600305.0
428,2021-05-06,28297.0,2628602.0
429,2021-05-07,28403.0,2657005.0
430,2021-05-08,28504.0,2685509.0
431,2021-05-09,28602.0,2714111.0
432,2021-05-10,28693.0,2742804.0
433,2021-05-11,28792.0,2771596.0
434,2021-05-12,28888.0,2800484.0
435,2021-05-13,28970.0,2829454.0
436,2021-05-14,29041.0,2858495.0
437,2021-05-15,29114.0,2887609.0
438,2021-05-16,29175.0,2916784.0
439,2021-05-17,29213.0,2945997.0
440,2021-05-18,29277.0,2975274.0
441,2021-05-19,29329.0,3004603.0
442,2021-05-20,29380.0,3033983.0
443,2021-05-21,29427.0,3063410.0
444,2021-05-22,29475.0,3092885.0
445,2021-05-23,29519.0,3122404.0
446,2021-05-24,29560.0,3151964.0
447,2021-05-25,29581.0,3181545.0
448,2021-05-26,29622.0,3211167.0
449,2021-05-27,29654.0,3240821.0
450,2021-05-28,29682.0,3270503.0
451,2021-05-29,29709.0,3300212.0
452,2021-05-30,29728.0,3329940.0
453,2021-05-31,29733.0,3359673.0
454,2021-06-01,29761.0,3389434.0
455,2021-06-02,29774.0,3419208.0
456,2021-06-03,29792.0,3449000.0
457,2021-06-04,29818.0,3478818.0
458,2021-06-05,29842.0,3508660.0
459,2021-06-06,29854.0,3538514.0
460,2021-06-07,29866.0,3568380.0
461,2021-06-08,29883.0,3598263.0
462,2021-06-09,29889.0,3628152.0
463,2021-06-10,29896.0,3658048.0
464,2021-06-11,29904.0,3687952.0
465,2021-06-12,0.0,3687952.0
466,2021-06-13,0.0,3687952.0
467,2021-06-14,29925.0,3717877.0
468,2021-06-15,29935.0,3747812.0
469,2021-06-16,29944.0,3777756.0
470,2021-06-17,29948.0,3807704.0
471,2021-06-18,29950.0,3837654.0
472,2021-06-19,0.0,3837654.0
473,2021-06-20,0.0,3837654.0
474,2021-06-21,29959.0,3867613.0
475,2021-06-22,29963.0,3897576.0
476,2021-06-23,29971.0,3927547.0
477,2021-06-24,29972.0,3957519.0
478,2021-06-25,29980.0,3987499.0
479,2021-06-26,0.0,3987499.0
480,2021-06-27,0.0,3987499.0
481,2021-06-28,29989.0,4017488.0
482,2021-06-29,29991.0,4047479.0
483,2021-06-30,29992.0,4077471.0
484,2021-07-01,29992.0,4107463.0
485,2021-07-02,29992.0,4137455.0
486,2021-07-03,0.0,4137455.0
487,2021-07-04,0.0,4137455.0
488,2021-07-05,29996.0,4167451.0
489,2021-07-06,29998.0,4197449.0
490,2021-07-07,29999.0,4227448.0
491,2021-07-08,30004.0,4257452.0
492,2021-07-09,30004.0,4287456.0
493,2021-07-10,0.0,4287456.0
494,2021-07-11,0.0,4287456.0
495,2021-07-12,30007.0,4317463.0
496,2021-07-13,30010.0,4347473.0
497,2021-07-14,30013.0,4377486.0
498,2021-07-15,30013.0,4407499.0
499,2021-07-16,30015.0,4437514.0
500,2021-07-17,0.0,4437514.0
501,2021-07-18,0.0,4437514.0
502,2021-07-19,30017.0,4467531.0
503,2021-07-20,30019.0,4497550.0
504,2021-07-21,30019.0,4527569.0
505,2021-07-22,30020.0,4557589.0
506,2021-07-23,30020.0,4587609.0
507,2021-07-24,0.0,4587609.0
508,2021-07-25,0.0,4587609.0
509,2021-07-26,30020.0,4617629.0
510,2021-07-27,30021.0,4647650.0
511,2021-07-28,30025.0,4677675.0
512,2021-07-29,30025.0,4707700.0
513,2021-07-30,30026.0,4737726.0
514,2021-07-31,0.0,4737726.0
515,2021-08-01,0.0,4737726.0
516,2021-08-02,30027.0,4767753.0
517,2021-08-03,30029.0,4797782.0
518,2021-08-04,30032.0,4827814.0
519,2021-08-05,30032.0,4857846.0
520,2021-08-06,30033.0,4887879.0
521,2021-08-07,0.0,4887879.0
522,2021-08-08,0.0,4887879.0
523,2021-08-09,30037.0,4917916.0
524,2021-08-10,30037.0,4947953.0
525,2021-08-11,30037.0,4977990.0
526,2021-08-12,30037.0,5008027.0
527,2021-08-13,30038.0,5038065.0
528,2021-08-14,0.0,5038065.0
529,2021-08-15,0.0,5038065.0
530,2021-08-16,30041.0,5068106.0
531,2021-08-17,30042.0,5098148.0
532,2021-08-18,30045.0,5128193.0
533,2021-08-19,30046.0,5158239.0
534,2021-08-20,0.0,5158239.0
535,2021-08-21,0.0,5158239.0
536,2021-08-22,0.0,5158239.0
537,2021-08-23,30052.0,5188291.0
538,2021-08-24,30054.0,5218345.0
539,2021-08-25,30055.0,5248400.0
540,2021-08-26,30056.0,5278456.0
541,2021-08-27,30057.0,5308513.0
542,2021-08-28,0.0,5308513.0
543,2021-08-29,0.0,5308513.0
544,2021-08-30,30057.0,5338570.0
545,2021-08-31,30058.0,5368628.0
546,2021-09-01,30059.0,5398687.0
547,2021-09-02,30060.0,5428747.0
548,2021-09-03,30061.0,5458808.0
549,2021-09-04,0.0,5458808.0
550,2021-09-05,0.0,5458808.0
551,2021-09-06,30070.0,5488878.0
552,2021-09-07,30074.0,5518952.0
553,2021-09-08,30077.0,5549029.0
554,2021-09-09,30080.0,5579109.0
555,2021-09-10,30086.0,5609195.0
556,2021-09-11,0.0,5609195.0
557,2021-09-12,0.0,5609195.0
558,2021-09-13,30098.0,5639293.0
559,2021-09-14,30102.0,5669395.0
560,2021-09-15,30114.0,5699509.0
561,2021-09-16,30118.0,5729627.0
562,2021-09-17,30123.0,5759750.0
563,2021-09-18,0.0,5759750.0
564,2021-09-19,0.0,5759750.0
565,2021-09-20,30136.0,5789886.0
566,2021-09-21,30141.0,5820027.0
567,2021-09-22,30143.0,5850170.0
568,2021-09-23,30145.0,5880315.0
569,2021-09-24,30151.0,5910466.0
570,2021-09-25,0.0,5910466.0
571,2021-09-26,0.0,5910466.0
572,2021-09-27,30171.0,5940637.0
573,2021-09-28,30179.0,5970816.0
574,2021-09-29,30185.0,6001001.0
575,2021-09-30,30190.0,6031191.0
576,2021-10-01,30199.0,6061390.0
577,2021-10-02,0.0,6061390.0
578,2021-10-03,0.0,6061390.0
579,2021-10-04,30230.0,6091620.0
580,2021-10-05,30246.0,6121866.0
581,2021-10-06,30253.0,6152119.0
582,2021-10-07,30259.0,6182378.0
583,2021-10-08,30275.0,6212653.0
584,2021-10-09,0.0,6212653.0
585,2021-10-10,0.0,6212653.0
586,2021-10-11,30303.0,6242956.0
587,2021-10-12,30320.0,6273276.0
588,2021-10-13,30330.0,6303606.0
589,2021-10-14,30341.0,6333947.0
590,2021-10-15,30351.0,6364298.0
591,2021-10-16,0.0,6364298.0
592,2021-10-17,0.0,6364298.0
593,2021-10-18,30402.0,6394700.0
594,2021-10-19,30418.0,6425118.0
595,2021-10-20,30448.0,6455566.0
596,2021-10-21,30468.0,6486034.0
597,2021-10-22,30492.0,6516526.0
598,2021-10-23,0.0,6516526.0
599,2021-10-24,0.0,6516526.0
600,2021-10-25,30567.0,6547093.0
601,2021-10-26,30611.0,6577704.0
602,2021-10-27,30647.0,6608351.0
603,2021-10-28,30692.0,6639043.0
604,2021-10-29,30729.0,6669772.0
605,2021-10-30,0.0,6669772.0
606,2021-10-31,0.0,6669772.0
607,2021-11-01,30881.0,6700653.0
608,2021-11-02,30920.0,6731573.0
609,2021-11-03,30994.0,6762567.0
610,2021-11-04,31101.0,6793668.0
611,2021-11-05,31184.0,6824852.0
612,2021-11-06,0.0,6824852.0
613,2021-11-07,0.0,6824852.0
614,2021-11-08,31398.0,6856250.0
615,2021-11-09,31521.0,6887771.0
616,2021-11-10,31619.0,6919390.0
617,2021-11-11,31751.0,6951141.0
618,2021-11-12,31867.0,6983008.0
619,2021-11-13,0.0,6983008.0
620,2021-11-14,0.0,6983008.0
621,2021-11-15,32171.0,7015179.0
